aig_name,inputs,latches,outputs,gates,correct_cnt,nonIC3_correct_cnt,ground_time,k_threshold,largest_k,checked_samples,alg_time,ac_cnt,ac_ratio 
cucnt3.aig_10,0,3,1,19,1000,1000,17.5229370594025,10,0,10,0.174216358661652,1000,1
cucnt3.aig_11,0,3,1,19,1000,1000,17.5229370594025,11,0,11,0.191699702739716,1000,1
cucnt3.aig_12,0,3,1,19,1000,1000,17.5229370594025,12,0,12,0.209038054943085,1000,1
cucnt3.aig_13,0,3,1,19,1000,1000,17.5229370594025,13,0,13,0.226098344326019,1000,1
cucnt3.aig_14,0,3,1,19,1000,1000,17.5229370594025,14,0,14,0.244061813354492,1000,1
cucnt3.aig_15,0,3,1,19,1000,1000,17.5229370594025,15,0,15,0.261226980686188,1000,1
cucnt3.aig_16,0,3,1,19,1000,1000,17.5229370594025,16,0,16,0.278588833808899,1000,1
cucnt3.aig_17,0,3,1,19,1000,1000,17.5229370594025,17,0,17,0.295911598205566,1000,1
cucnt3.aig_18,0,3,1,19,1000,1000,17.5229370594025,18,0,18,0.313411934375763,1000,1
cucnt3.aig_19,0,3,1,19,1000,1000,17.5229370594025,19,0,19,0.330691683292389,1000,1
cucnt3.aig_20,0,3,1,19,1000,1000,17.5229370594025,20,0,20,0.348135826587677,1000,1
cucnt3.aig_21,0,3,1,19,1000,1000,17.5229370594025,21,0,21,0.365837850570679,1000,1
cucnt3.aig_22,0,3,1,19,1000,1000,17.5229370594025,22,0,22,0.38302565574646,1000,1
cucnt3.aig_23,0,3,1,19,1000,1000,17.5229370594025,23,0,23,0.400410225391388,1000,1
cucnt3.aig_24,0,3,1,19,1000,1000,17.5229370594025,24,0,24,0.417789492607117,1000,1
cucnt3.aig_25,0,3,1,19,1000,1000,17.5229370594025,25,0,25,0.43543797492981,1000,1
cucnt3.aig_26,0,3,1,19,1000,1000,17.5229370594025,26,0,26,0.452698385715485,1000,1
cucnt3.aig_27,0,3,1,19,1000,1000,17.5229370594025,27,0,27,0.46996502161026,1000,1
cucnt3.aig_28,0,3,1,19,1000,1000,17.5229370594025,28,0,28,0.487304749488831,1000,1
cucnt3.aig_29,0,3,1,19,1000,1000,17.5229370594025,29,0,29,0.504871182441711,1000,1
cucnt3.aig_30,0,3,1,19,1000,1000,17.5229370594025,30,0,30,0.522241475582123,1000,1
cucnt3.aig_31,0,3,1,19,1000,1000,17.5229370594025,31,0,31,0.539952552318573,1000,1
cucnt3.aig_32,0,3,1,19,1000,1000,17.5229370594025,32,0,32,0.556993978023529,1000,1
