aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
6s209b0.aig,464,5759,1,51254,1000,0,0,0,3.42719221115112,0,0,1,1200.01439476013,Init2,false,8,4.239211,4,40,0.04
6s108.aig,856,782,1,13892,945,0,0,0,46.0858609676361,0,0,1,1200.01392126083,Init2,false,16,50.307959,9,0,0
pdtvisns3p15.aig,21,117,1,3977,736,736,1,0,0.369297027587891,736,1,0,0.428481817245483,Init2,false,2,0.424601,1,736,1
pdtvisvsa16a23.aig,32,236,1,6244,483,483,1,0,0.419402599334717,483,1,0,0.681010007858276,Init2,false,2,0.576262,1,483,1
pdtvisvsa16a20.aig,32,236,1,6244,507,507,1,0,0.520509004592896,507,1,0,0.680688381195068,Init2,false,2,0.623787,1,507,1
oski15a14b12s.aig,1071,3519,1,42794,994,675,0.67907444668008,0,10.1458835601807,0,0,0,616.299954414368,Init2,false,32,16.719402,2,769,0.77364185110664
nusmvguidancep1.aig,84,86,1,1735,887,738,0.832018038331454,0,0.268976926803589,678,0.764374295377678,0,0.279165029525757,Init2,false,16,0.323139,5,673,0.758737316798196
6s291rb18.aig,3,839,1,2555,143,0,0,0,5.68115663528442,0,0,1,1200.01456809044,Init2,false,2,1.375368,13,0,0
pdtswvibs16x4p2.aig,5,94,1,3208,475,231,0.486315789473684,0,0.621076583862305,424,0.892631578947368,0,0.48002815246582,Init4,false,0,1.099074,1,475,1
beemmcs1f1.aig,39,111,1,904,744,598,0.803763440860215,0,5.5324547290802,0,0,0,861.43208527565,Init2,false,32,4.133234,21,594,0.798387096774194
bj08amba4g1.aig,11,36,1,13217,711,256,0.360056258790436,0,0.869873762130737,164,0.230661040787623,0,1.18205785751343,Init2,false,2,1.074965,3,256,0.360056258790436
beemexit5f1.aig,133,246,1,2025,998,0,0,0,40.9727377891541,0,0,0,74.3185789585114,Init2,false,4,21.230728,18,0,0
pdtvisvsar10.aig,17,130,1,2118,998,941,0.942885771543086,0,0.418945789337158,31,0.031062124248497,0,0.829898118972778,Init4,false,0,3.604835,1,998,1
